source,target,"_mkv_child"
"flare.vis.events.DataEvent","flare.vis.data.DataSprite",3
"flare.vis.data.TreeBuilder","flare.vis.data.EdgeSprite",0
"flare.vis.data.TreeBuilder","flare.vis.data.NodeSprite",1
"flare.vis.data.TreeBuilder","flare.vis.data.Tree",2
"flare.vis.data.TreeBuilder","flare.util.heap.HeapNode",3
"flare.vis.data.TreeBuilder","flare.util.heap.FibonacciHeap",4
"flare.vis.data.TreeBuilder","flare.util.Property",5
"flare.vis.data.TreeBuilder","flare.util.IEvaluable",6
"flare.vis.data.TreeBuilder","flare.vis.data.Data",7
"flare.vis.data.Tree","flare.vis.data.EdgeSprite",0
"flare.vis.data.Tree","flare.vis.events.DataEvent",1
"flare.vis.data.Tree","flare.vis.data.NodeSprite",2
"flare.vis.data.Tree","flare.vis.data.Data",3
"flare.vis.data.ScaleBinding","flare.scale.TimeScale",0
"flare.vis.data.ScaleBinding","flare.scale.ScaleType",1
"flare.vis.data.ScaleBinding","flare.scale.LinearScale",2
"flare.vis.data.ScaleBinding","flare.scale.LogScale",3
"flare.vis.data.ScaleBinding","flare.scale.OrdinalScale",4
"flare.vis.data.ScaleBinding","flare.scale.RootScale",5
"flare.vis.data.ScaleBinding","flare.scale.Scale",6
"flare.vis.data.ScaleBinding","flare.scale.QuantileScale",7
"flare.vis.data.ScaleBinding","flare.util.Stats",8
"flare.vis.data.ScaleBinding","flare.scale.QuantitativeScale",9
"flare.vis.data.ScaleBinding","flare.vis.events.DataEvent",10
"flare.vis.data.ScaleBinding","flare.vis.data.Data",11
"flare.vis.data.render.ShapeRenderer","flare.util.Shapes",0
"flare.vis.data.render.ShapeRenderer","flare.vis.data.render.IRenderer",1
"flare.vis.data.render.ShapeRenderer","flare.vis.data.DataSprite",2
"flare.vis.data.render.IRenderer","flare.vis.data.DataSprite",0
"flare.vis.data.render.EdgeRenderer","flare.vis.data.EdgeSprite",0
"flare.vis.data.render.EdgeRenderer","flare.vis.data.NodeSprite",1
"flare.vis.data.render.EdgeRenderer","flare.vis.data.DataSprite",2
"flare.vis.data.render.EdgeRenderer","flare.vis.data.render.IRenderer",3
"flare.vis.data.render.EdgeRenderer","flare.util.Shapes",4
"flare.vis.data.render.EdgeRenderer","flare.util.Geometry",5
"flare.vis.data.render.EdgeRenderer","flare.vis.data.render.ArrowType",6
"flare.vis.data.render.ArrowType",,0
"flare.vis.data.NodeSprite","flare.animate.Transitioner",0
"flare.vis.data.NodeSprite","flare.util.Arrays",1
"flare.vis.data.NodeSprite","flare.vis.data.DataSprite",2
"flare.vis.data.NodeSprite","flare.vis.data.EdgeSprite",3
"flare.vis.data.NodeSprite","flare.vis.data.Tree",4
"flare.vis.data.NodeSprite","flare.util.Sort",5
"flare.vis.data.NodeSprite","flare.util.Filter",6
"flare.vis.data.NodeSprite","flare.util.IEvaluable",7
"flare.vis.data.NodeSprite","flare.vis.data.Data",8
"flare.vis.data.EdgeSprite","flare.vis.data.render.EdgeRenderer",0
"flare.vis.data.EdgeSprite","flare.vis.data.DataSprite",1
"flare.vis.data.EdgeSprite","flare.vis.data.NodeSprite",2
"flare.vis.data.EdgeSprite","flare.vis.data.render.ArrowType",3
"flare.vis.data.EdgeSprite","flare.vis.data.Data",4
"flare.vis.data.DataSprite","flare.util.Colors",0
"flare.vis.data.DataSprite","flare.vis.data.Data",1
"flare.vis.data.DataSprite","flare.display.DirtySprite",2
"flare.vis.data.DataSprite","flare.vis.data.render.IRenderer",3
"flare.vis.data.DataSprite","flare.vis.data.render.ShapeRenderer",4
"flare.vis.data.DataList","flare.animate.Transitioner",0
"flare.vis.data.DataList","flare.vis.data.NodeSprite",1
"flare.vis.data.DataList","flare.util.Arrays",2
"flare.vis.data.DataList","flare.util.math.DenseMatrix",3
"flare.vis.data.DataList","flare.vis.data.DataSprite",4
"flare.vis.data.DataList","flare.vis.data.EdgeSprite",5
"flare.vis.data.DataList","flare.vis.events.DataEvent",6
"flare.vis.data.DataList","flare.util.Stats",7
"flare.vis.data.DataList","flare.util.math.IMatrix",8
"flare.vis.data.DataList","flare.util.Sort",9
"flare.vis.data.DataList","flare.util.Filter",10
"flare.vis.data.DataList","flare.util.Property",11
"flare.vis.data.DataList","flare.util.IEvaluable",12
"flare.vis.data.DataList","flare.vis.data.Data",13
"flare.vis.data.Data","flare.vis.data.EdgeSprite",0
"flare.vis.data.Data","flare.vis.data.NodeSprite",1
"flare.vis.data.Data","flare.util.Arrays",2
"flare.vis.data.Data","flare.vis.data.DataSprite",3
"flare.vis.data.Data","flare.vis.data.Tree",4
"flare.vis.data.Data","flare.vis.events.DataEvent",5
"flare.vis.data.Data","flare.data.DataSet",6
"flare.vis.data.Data","flare.vis.data.TreeBuilder",7
"flare.vis.data.Data","flare.vis.data.DataList",8
"flare.vis.data.Data","flare.data.DataSchema",9
"flare.vis.data.Data","flare.util.Sort",10
"flare.vis.data.Data","flare.data.DataField",11
"flare.vis.data.Data","flare.util.Property",12
"flare.vis.controls.TooltipControl","flare.animate.Tween",0
"flare.vis.controls.TooltipControl","flare.display.TextSprite",1
"flare.vis.controls.TooltipControl","flare.vis.controls.Control",2
"flare.vis.controls.TooltipControl","flare.vis.events.TooltipEvent",3
"flare.vis.controls.SelectionControl","flare.vis.events.SelectionEvent",0
"flare.vis.controls.SelectionControl","flare.vis.controls.Control",1
"flare.vis.controls.PanZoomControl","flare.util.Displays",0
"flare.vis.controls.PanZoomControl","flare.vis.controls.Control",1
"flare.vis.controls.IControl","flare.vis.controls.Control",0
"flare.vis.controls.HoverControl","flare.vis.events.SelectionEvent",0
"flare.vis.controls.HoverControl","flare.vis.controls.Control",1
"flare.vis.controls.ExpandControl","flare.animate.Transitioner",0
"flare.vis.controls.ExpandControl","flare.vis.data.NodeSprite",1
"flare.vis.controls.ExpandControl","flare.vis.controls.Control",2
"flare.vis.controls.ExpandControl","flare.vis.Visualization",3
"flare.vis.controls.DragControl","flare.vis.controls.Control",0
"flare.vis.controls.DragControl","flare.vis.data.DataSprite",1
"flare.vis.controls.ControlList","flare.vis.controls.IControl",0
"flare.vis.controls.ControlList","flare.util.Arrays",1
"flare.vis.controls.ControlList","flare.vis.Visualization",2
"flare.vis.controls.ControlList","flare.vis.controls.Control",3
"flare.vis.controls.Control","flare.vis.controls.IControl",0
"flare.vis.controls.Control","flare.util.Filter",1
"flare.vis.controls.ClickControl","flare.vis.events.SelectionEvent",0
"flare.vis.controls.ClickControl","flare.vis.controls.Control",1
"flare.vis.controls.AnchorControl","flare.vis.controls.Control",0
"flare.vis.controls.AnchorControl","flare.vis.Visualization",1
"flare.vis.controls.AnchorControl","flare.vis.operator.layout.Layout",2
"flare.vis.axis.CartesianAxes","flare.animate.Transitioner",0
"flare.vis.axis.CartesianAxes","flare.display.RectSprite",1
"flare.vis.axis.CartesianAxes","flare.vis.axis.Axis",2
"flare.vis.axis.CartesianAxes","flare.display.TextSprite",3
"flare.vis.axis.CartesianAxes","flare.vis.axis.Axes",4
"flare.vis.axis.CartesianAxes","flare.vis.Visualization",5
"flare.vis.axis.CartesianAxes","flare.vis.axis.AxisGridLine",6
"flare.vis.axis.AxisLabel","flare.vis.axis.Axis",0
"flare.vis.axis.AxisLabel","flare.display.TextSprite",1
"flare.vis.axis.AxisGridLine","flare.vis.axis.Axis",0
"flare.vis.axis.AxisGridLine","flare.display.LineSprite",1
"flare.vis.axis.Axis","flare.animate.Transitioner",0
"flare.vis.axis.Axis","flare.scale.LinearScale",1
"flare.vis.axis.Axis","flare.util.Arrays",2
"flare.vis.axis.Axis","flare.scale.ScaleType",3
"flare.vis.axis.Axis","flare.util.Strings",4
"flare.vis.axis.Axis","flare.display.TextSprite",5
"flare.vis.axis.Axis","flare.scale.Scale",6
"flare.vis.axis.Axis","flare.util.Stats",7
"flare.vis.axis.Axis","flare.scale.IScaleMap",8
"flare.vis.axis.Axis","flare.vis.axis.AxisLabel",9
"flare.vis.axis.Axis","flare.vis.axis.AxisGridLine",10
"flare.vis.axis.Axes","flare.animate.Transitioner",0
"flare.vis.axis.Axes","flare.vis.Visualization",1
"flare.util.Strings","flare.util.Dates",0
"flare.util.Strings","flare.util.Property",1
"flare.util.Stats","flare.util.Arrays",0
"flare.util.Stats","flare.util.Property",1
"flare.util.Sort","flare.util.Arrays",0
"flare.util.Sort","flare.util.Property",1
"flare.util.Shapes","flare.util.Arrays",0
"flare.util.Property","flare.util.IPredicate",0
"flare.util.Property","flare.util.IValueProxy",1
"flare.util.Property","flare.util.IEvaluable",2
"flare.util.palette.SizePalette","flare.util.palette.Palette",0
"flare.util.palette.ShapePalette","flare.util.palette.Palette",0
"flare.util.palette.ShapePalette","flare.util.Shapes",1
"flare.util.palette.Palette",,0
"flare.util.palette.ColorPalette","flare.util.palette.Palette",0
"flare.util.palette.ColorPalette","flare.util.Colors",1
"flare.util.Orientation",,0
"flare.util.Maths","flare.util.Arrays",0
"flare.util.math.SparseMatrix","flare.util.math.IMatrix",0
"flare.util.math.IMatrix",,0
"flare.util.math.DenseMatrix","flare.util.math.IMatrix",0
"flare.util.IValueProxy",,0
"flare.util.IPredicate",,0
"flare.util.IEvaluable",,0
"flare.util.heap.HeapNode","flare.util.heap.FibonacciHeap",0
"flare.util.heap.FibonacciHeap","flare.util.heap.HeapNode",0
"flare.util.Geometry",,0
"flare.util.Filter","flare.util.IPredicate",0
"flare.util.Filter","flare.util.Property",1
"flare.util.Displays","flare.util.IValueProxy",0
"flare.util.Displays","flare.util.Filter",1
"flare.util.Displays","flare.util.Property",2
"flare.util.Displays","flare.util.IEvaluable",3
"flare.util.Displays","flare.util.Sort",4
"flare.util.Dates","flare.util.Maths",0
"flare.util.Colors","flare.util.Filter",0
"flare.util.Arrays","flare.util.IValueProxy",0
"flare.util.Arrays","flare.util.Property",1
"flare.util.Arrays","flare.util.IEvaluable",2
"flare.scale.TimeScale","flare.util.Maths",0
"flare.scale.TimeScale","flare.util.Dates",1
"flare.scale.TimeScale","flare.scale.Scale",2
"flare.scale.TimeScale","flare.scale.ScaleType",3
"flare.scale.ScaleType","flare.scale.Scale",0
"flare.scale.Scale","flare.scale.ScaleType",0
"flare.scale.Scale","flare.util.Strings",1
"flare.scale.RootScale","flare.util.Maths",0
"flare.scale.RootScale","flare.util.Strings",1
"flare.scale.RootScale","flare.scale.Scale",2
"flare.scale.RootScale","flare.scale.QuantitativeScale",3
"flare.scale.RootScale","flare.scale.ScaleType",4
"flare.scale.QuantitativeScale","flare.util.Maths",0
"flare.scale.QuantitativeScale","flare.util.Strings",1
"flare.scale.QuantitativeScale","flare.scale.Scale",2
"flare.scale.QuantileScale","flare.util.Maths",0
"flare.scale.QuantileScale","flare.util.Strings",1
"flare.scale.QuantileScale","flare.scale.Scale",2
"flare.scale.QuantileScale","flare.scale.ScaleType",3
"flare.scale.OrdinalScale","flare.scale.ScaleType",0
"flare.scale.OrdinalScale","flare.util.Arrays",1
"flare.scale.OrdinalScale","flare.scale.Scale",2
"flare.scale.LogScale","flare.util.Maths",0
"flare.scale.LogScale","flare.util.Strings",1
"flare.scale.LogScale","flare.scale.Scale",2
"flare.scale.LogScale","flare.scale.QuantitativeScale",3
"flare.scale.LogScale","flare.scale.ScaleType",4
"flare.scale.LinearScale","flare.util.Maths",0
"flare.scale.LinearScale","flare.util.Strings",1
"flare.scale.LinearScale","flare.scale.Scale",2
